Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
121,INDUS Holding AG,Sdax,indus-holding,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
122,Instone Real Estate Group AG,Sdax,instone-real-estate,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
123,Isra Vision AG,Sdax,isra-vision-ag,Elektro/Elektronik,,Yes,,,,,,,,,,,,,,,,,,,
124,Jenoptik AG,Sdax,jenoptik,Sonstige Branchen,,Yes,,,,,,,,,,,,,,,,,,,
125,JOST Werke AG,Sdax,jost-werke,Automobil,https://www.kununu.com/de/jost-werke,Yes,,,,,,,,,,,,,,,,,,,
126,Jungheinrich Aktiengesellschaft,Sdax,jungheinrich1,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
127,Klöckner & Co SE,Sdax,kloeckner-co-se,Handel,,Yes,,,,,,,,,,,,,,,,,,,
128,Koenig & Bauer AG,Sdax,koenig-bauer-kba,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
129,Krones AG,Sdax,krones,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
130,KWS SAAT SE & Co. KGaA,Sdax,kws-saat,Nahrungsmittel/Landwirtschaft,https://www.kununu.com/de/kws-saat,Yes,,,,,,,,,,,,,,,,,,,
131,LEONI AG,Sdax,leoni3,Elektro/Elektronik,,Yes,,,,,,,,,,,,,,,,,,,
132,LPKF Laser & Electronics AG,Sdax,lpkf-laser-electronics1,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
133,New Work SE,Sdax,new-work,Internet,,Yes,,,,,,,,,,,,,,,,,,,
134,Nordex SE,Sdax,nordex-se,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
135,NORMA Group SE,Sdax,norma-group-deutschland,Sonstige Branchen,,Yes,,,,,,,,,,,,,,,,,,,
136,Patrizia AG,Sdax,patrizia-immobilien,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
137,Pfeiffer Vacuum Technology AG,Sdax,pfeiffer-vacuum-ag,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
138,RHÖN-KLINIKUM Aktiengesellschaft,Sdax,rhoen-klinikum2,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
139,RIB Software SE,Sdax,rib-software,IT,,Yes,,,,,,,,,,,,,,,,,,,
140,S&T AG,Sdax,st-austria,IT,,Yes,,,,,,,,,,,,,,,,,,,
141,SAF-Holland SE,Sdax,saf-holland,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
142,Salzgitter AG,Sdax,salzgitter-gruppe,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
143,Schaeffler AG,Sdax,schaeffler,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
144,Shop Apotheke Europe N.V.,Sdax,shop-apotheke-europe,Sonstige Branchen,,Yes,,,,,,,,,,,,,,,,,,,
145,Sixt SE,Sdax,sixt-autovermietung,Dienstleistung,,Yes,,,,,,,,,,,,,,,,,,,
146,SMA Solar Technology AG,Sdax,sma-solar-technology,Energie,,Yes,,,,,,,,,,,,,,,,,,,
147,SNP Schneider-Neureither & Partner SE,Sdax,snp-snp-schneider-neureither-partner,IT,,Yes,,,,,,,,,,,,,,,,,,,
148,Stabilus S.A.,Sdax,stabilus2,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
149,Steinhoff International Holdings N.V.,Sdax,steinhoff-germany,Handel,https://www.kununu.com/de/steinhoff-germany,Yes,,,,,,,,,,,,,,,,,,,
150,Ströer SE & Co. KGaA,Sdax,stroeer-stroeer-gruppe,Marketing/Werbung/PR,,Yes,,,,,,,,,,,,,,,,,,,
151,Südzucker AG,Sdax,suedzucker,Nahrungsmittel/Landwirtschaft,,Yes,,,,,,,,,,,,,,,,,,,
152,Takkt AG,Sdax,takkt,Handel,,Yes,,,,,,,,,,,,,,,,,,,
153,Talanx AG,Sdax,,,,No,,,,,,,,,,,,,,,,,,,
154,Traton SE,Sdax,traton-se,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
155,Vossloh AG,Sdax,vosslohag,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
156,Wacker Chemie AG,Sdax,wacker-chemie,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
157,Wacker Neuson SE,Sdax,wackerneusongroup,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
158,WashTec AG,Sdax,washtec-cleaning-technology,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
159,Wüstenrot & Württembergische AG,Sdax,wuestenrot-wuerttembergische-gruppe,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
160,zooplus AG,Sdax,zooplus3,Handel,,Yes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
